,User,Location,Tweet
84,ajiraKE,"Nairobi, Kenya",ladbadhur Hello What challenge are you having Can you DM us a screenshot
85,ajiraKE,"Nairobi, Kenya",To stand a chance for your profile to be featured on the home pageWhen signing up have atleast 3 sentences describing experienceswhat you can doAfter signing up upload your profile pic3Verify your emailCheck featured profiles at
86,ajiraKE,"Nairobi, Kenya",mwadun ErickLibese Keep checking Jobs will be streaming in soon
87,ajiraKE,"Nairobi, Kenya",IkoKaziKE ajiraKE
88,ajiraKE,"Nairobi, Kenya",IkoKaziKE ajiraKE
89,ajiraKE,"Nairobi, Kenya",Naliaka Post jobs at for free and help someone get a job IkoKaziKE ajiraKE
90,ajiraKE,"Nairobi, Kenya",RedSabin Post jobs and internships at for free and help someone get a job IkoKaziKE ajiraKE
91,ajiraKE,"Nairobi, Kenya",Arthurnyoiks Post jobs at for free and help someone get a job IkoKaziKE ajiraKE
92,ajiraKE,"Nairobi, Kenya",mercymurugi Post jobs at for free and help someone get a job IkoKaziKE ajiraKE
93,ajiraKE,"Nairobi, Kenya",beebree0 You can now post all your jobs at and get quality applicants ikoKaziKE ajiraKE
94,ajiraKE,"Nairobi, Kenya",ErickLibese Signup at for free and get leads for internships IkoKaziKE ajiraKE
95,ajiraKE,"Nairobi, Kenya",Introducing Nina sales and content creator ikoKaziKE ajiraKE via ajiraKE
96,ajiraKE,"Nairobi, Kenya",Help Mucheru get a driving job ikoKaziKE ajiraKE via ajiraKE
97,ajiraKE,"Nairobi, Kenya",Accountants needed Follow link for details ikoKaziKE ajiraKE via ajiraKE
98,ajiraKE,"Nairobi, Kenya",When posting a job vacancy always make sure it does not discriminate against any gender race religion or tribe At you can report a discriminatory job at a click of a button
99,ajiraKE,"Nairobi, Kenya",Digital marketers needed Check out this link ikoKaziKE ajiraKE via ajiraKE
100,ajiraKE,"Nairobi, Kenya",Interns needed ikoKaziKE ajiraKE via ajiraKE
101,ajiraKE,"Nairobi, Kenya",JDolphine Signup at for free and get leads for jobs IkoKaziKE ajiraKE
102,ajiraKE,"Nairobi, Kenya",HJhidaka NelbornBikram you can help out by posting any jobs for free at
103,ajiraKE,"Nairobi, Kenya",NelbornBikram Signup at for free and get leads for jobs IkoKaziKE ajiraKE
104,ajiraKE,"Nairobi, Kenya",akilahmed alternativeke Advertise all your job needs for free and browse profiles of job hunters at more features coming soon to cater for your needs
105,ajiraKE,"Nairobi, Kenya",mmnjug potentash check
106,ajiraKE,"Nairobi, Kenya",pmwesha Signup at for free and get leads for jobs IkoKaziKE ajiraKE
107,ajiraKE,"Nairobi, Kenya",Check out ikoKaziKE ajiraKE via ajiraKE
108,ajiraKE,"Nairobi, Kenya",sharehollder Post jobs for free at ikoKaziKE ajiraKE
109,ajiraKE,"Nairobi, Kenya",Archie In progress keep checking
110,ajiraKE,"Nairobi, Kenya",Archie Create a profile at and get rehired ajiraKE ikoKaziKE
111,ajiraKE,"Nairobi, Kenya",ikoKaziKE ajiraKE
112,ajiraKE,"Nairobi, Kenya",Thelytter You can now post all your jobs for free at and get quality applicants IkoKaziKE ajiraKE
113,ajiraKE,"Nairobi, Kenya",Interior designers out there check out you can as well sign up for free at for job alerts
114,ajiraKE,"Nairobi, Kenya",KuntaKitten You can now post all your jobs for free at and get quality applicants IkoKaziKE ajiraKE
115,ajiraKE,"Nairobi, Kenya",BeingMadcap Tukoworks You can now post all your jobs for free at and get quality applicants IkoKaziKE ajiraKE
116,ajiraKE,"Nairobi, Kenya",uchihamwalimu You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
117,ajiraKE,"Nairobi, Kenya",MsCanyie campusbizKE InternshipsKE KunaKaziKE You can now post all your jobs at and get quality applicants IkoKaziKE ajiraKE
